Track,ID,DateTime,Side,Entry,SL,TP1,TP2,RiskPips,ExitReason,ExitPrice,ExitTime,PnlR,PnlUsd,Confluence
SUPREME,12,"2026-07-24T13:15:00.000Z",BUY,4050.40,4046.40,4056.40,4064.40,40,TP1_PARTIAL_BE_STOP,4050.40,"2026-07-24T13:45:00.000Z",0.75,7.50,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,13,"2026-07-24T19:20:00.000Z",SELL,4053.10,4055.20,4049.95,4045.75,21,SL_HIT,4055.20,"2026-07-24T19:30:00.000Z",-1.00,-10.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,14,"2026-07-24T19:30:00.000Z",BUY,4053.70,4050.30,4058.80,4065.60,34,TP2_FULL_TARGET,4065.60,"2026-07-24T20:55:00.000Z",2.50,25.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,15,"2026-07-27T16:15:00.000Z",SELL,4083.30,4087.50,4077.00,4068.60,42,SL_HIT,4087.50,"2026-07-27T16:25:00.000Z",-1.00,-10.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,16,"2026-07-27T23:55:00.000Z",BUY,4072.80,4070.40,4076.40,4081.20,24,SL_HIT,4070.40,"2026-07-28T00:00:00.000Z",-1.00,-10.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SCALP,11,"2026-07-28T05:30:00.000Z",BUY,4042.70,4039.50,4046.10,4046.10,32,SL_HIT,4039.50,"2026-07-28T05:35:00.000Z",-1.00,-5.00,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SUPREME,17,"2026-07-29T11:55:00.000Z",SELL,4091.60,4095.80,4085.30,4076.90,42,TP2_FULL_TARGET,4076.90,"2026-07-29T12:20:00.000Z",2.50,25.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,18,"2026-08-03T00:45:00.000Z",SELL,4113.80,4117.40,4108.40,4101.20,36,TP1_PARTIAL_BE_STOP,4113.80,"2026-08-03T01:00:00.000Z",0.75,7.50,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SCALP,12,"2026-08-03T18:05:00.000Z",BUY,4087.80,4084.30,4090.95,4090.95,35,TP_EQUILIBRIUM,4090.95,"2026-08-03T18:10:00.000Z",1.20,6.00,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SUPREME,19,"2026-08-03T20:40:00.000Z",SELL,4113.40,4115.40,4110.40,4106.40,20,TP2_FULL_TARGET,4106.40,"2026-08-03T22:00:00.000Z",2.50,25.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SCALP,13,"2026-08-04T00:40:00.000Z",SELL,4114.00,4116.20,4109.80,4109.80,22,TP_EQUILIBRIUM,4109.80,"2026-08-04T00:50:00.000Z",1.20,6.00,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SUPREME,20,"2026-08-05T02:10:00.000Z",SELL,4153.30,4155.40,4150.15,4145.95,21,SL_HIT,4155.40,"2026-08-05T02:15:00.000Z",-1.00,-10.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,21,"2026-08-06T12:45:00.000Z",SELL,4326.20,4330.30,4320.05,4311.85,41,TP2_FULL_TARGET,4311.85,"2026-08-06T12:50:00.000Z",2.50,25.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,23,"2026-08-11T14:50:00.000Z",SELL,4452.80,4456.20,4447.70,4440.90,34,SL_HIT,4456.20,"2026-08-11T14:55:00.000Z",-1.00,-10.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,24,"2026-08-11T16:20:00.000Z",SELL,4438.60,4441.90,4433.65,4427.05,33,SL_HIT,4441.90,"2026-08-11T16:25:00.000Z",-1.00,-10.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,22,"2026-08-11T18:15:00.000Z",BUY,4423.00,4418.50,4429.75,4438.75,45,TP1_PARTIAL_BE_STOP,4423.00,"2026-08-11T19:05:00.000Z",0.75,7.50,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,25,"2026-08-12T18:55:00.000Z",SELL,4474.10,4478.10,4468.10,4460.10,40,SL_HIT,4478.10,"2026-08-12T19:05:00.000Z",-1.00,-10.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,26,"2026-08-13T08:40:00.000Z",SELL,4430.00,4432.70,4425.95,4420.55,27,SL_HIT,4432.70,"2026-08-13T08:45:00.000Z",-1.00,-10.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,27,"2026-08-13T11:50:00.000Z",BUY,4441.20,4437.80,4446.30,4453.10,34,TP1_PARTIAL_BE_STOP,4441.20,"2026-08-13T12:20:00.000Z",0.75,7.50,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SCALP,14,"2026-08-16T23:05:00.000Z",SELL,4438.00,4440.80,4433.25,4433.25,28,TP_EQUILIBRIUM,4433.25,"2026-08-16T23:20:00.000Z",1.20,6.00,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SCALP,15,"2026-08-18T00:10:00.000Z",SELL,4476.40,4478.70,4471.75,4471.75,23,SL_HIT,4478.70,"2026-08-18T00:15:00.000Z",-1.00,-5.00,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SUPREME,28,"2026-08-18T10:55:00.000Z",SELL,4453.70,4456.70,4449.20,4443.20,30,TP1_PARTIAL_BE_STOP,4453.70,"2026-08-18T12:20:00.000Z",0.75,7.50,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,29,"2026-08-24T10:10:00.000Z",SELL,4704.30,4707.70,4699.20,4692.40,34,TP1_PARTIAL_BE_STOP,4704.30,"2026-08-24T10:35:00.000Z",0.75,7.50,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,30,"2026-08-25T12:10:00.000Z",BUY,4692.70,4690.70,4695.70,4699.70,20,SL_HIT,4690.70,"2026-08-25T12:15:00.000Z",-1.00,-10.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,31,"2026-08-27T00:15:00.000Z",SELL,4671.70,4674.20,4667.95,4662.95,25,SL_HIT,4674.20,"2026-08-27T00:20:00.000Z",-1.00,-10.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,32,"2026-08-27T11:50:00.000Z",SELL,4648.70,4652.60,4642.85,4635.05,39,SL_HIT,4652.60,"2026-08-27T11:55:00.000Z",-1.00,-10.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,33,"2026-08-28T00:25:00.000Z",BUY,4646.60,4643.90,4650.65,4656.05,27,SL_HIT,4643.90,"2026-08-28T00:30:00.000Z",-1.00,-10.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,34,"2026-08-28T10:00:00.000Z",SELL,4658.80,4662.20,4653.70,4646.90,34,SL_HIT,4662.20,"2026-08-28T10:10:00.000Z",-1.00,-10.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,35,"2026-08-28T13:45:00.000Z",SELL,4657.30,4661.20,4651.45,4643.65,39,SL_HIT,4661.20,"2026-08-28T13:50:00.000Z",-1.00,-10.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,36,"2026-09-01T00:15:00.000Z",SELL,4504.10,4507.80,4498.55,4491.15,37,SL_HIT,4507.80,"2026-09-01T00:20:00.000Z",-1.00,-10.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,37,"2026-09-01T00:15:00.000Z",SELL,4504.10,4507.80,4498.55,4491.15,37,SL_HIT,4507.80,"2026-09-01T00:20:00.000Z",-1.00,-10.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,38,"2026-09-01T14:20:00.000Z",BUY,4420.20,4416.70,4425.45,4432.45,35,SL_HIT,4416.70,"2026-09-01T14:25:00.000Z",-1.00,-10.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,39,"2026-09-03T20:30:00.000Z",BUY,4519.00,4515.70,4523.95,4530.55,33,TP1_PARTIAL_BE_STOP,4519.00,"2026-09-03T22:45:00.000Z",0.75,7.50,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SCALP,16,"2026-09-04T00:10:00.000Z",SELL,4526.40,4529.90,4523.20,4523.20,35,TP_EQUILIBRIUM,4523.20,"2026-09-04T00:15:00.000Z",1.20,6.00,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SCALP,17,"2026-09-04T01:40:00.000Z",BUY,4519.80,4517.30,4524.20,4524.20,25,SL_HIT,4517.30,"2026-09-04T01:45:00.000Z",-1.00,-5.00,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SUPREME,40,"2026-09-04T09:30:00.000Z",BUY,4512.80,4509.30,4518.05,4525.05,35,TP1_PARTIAL_BE_STOP,4512.80,"2026-09-04T11:15:00.000Z",0.75,7.50,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,41,"2026-09-04T10:55:00.000Z",SELL,4520.90,4523.80,4516.55,4510.75,29,TP2_FULL_TARGET,4510.75,"2026-09-04T12:10:00.000Z",2.50,25.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,42,"2026-09-08T04:10:00.000Z",SELL,4486.10,4489.70,4480.70,4473.50,36,TP2_FULL_TARGET,4473.50,"2026-09-08T05:10:00.000Z",2.50,25.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,43,"2026-09-09T17:15:00.000Z",SELL,4461.80,4465.00,4457.00,4450.60,32,SL_HIT,4465.00,"2026-09-09T17:25:00.000Z",-1.00,-10.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,44,"2026-09-09T19:10:00.000Z",BUY,4444.80,4441.80,4449.30,4455.30,30,TP1_PARTIAL_BE_STOP,4444.80,"2026-09-09T19:30:00.000Z",0.75,7.50,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SCALP,18,"2026-09-09T23:45:00.000Z",BUY,4438.20,4435.80,4443.70,4443.70,24,SL_HIT,4435.80,"2026-09-10T00:00:00.000Z",-1.00,-5.00,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SUPREME,45,"2026-09-11T16:30:00.000Z",BUY,4396.50,4392.50,4402.50,4410.50,40,TP2_FULL_TARGET,4410.50,"2026-09-11T17:05:00.000Z",2.50,25.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
