Track,ID,DateTime,Side,Entry,SL,TP1,TP2,RiskPips,ExitReason,ExitPrice,ExitTime,PnlR,PnlUsd,Confluence
SUPREME,1,"2026-07-07T17:35:00.000Z",SELL,4157.50,4161.20,4151.95,4144.55,37,TP2_FULL_TARGET,4144.55,"2026-07-07T18:45:00.000Z",2.50,25.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SCALP,1,"2026-07-09T01:00:00.000Z",BUY,4083.20,4079.90,4087.30,4087.30,33,SL_HIT,4079.90,"2026-07-09T01:05:00.000Z",-1.00,-5.00,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SUPREME,2,"2026-07-09T11:20:00.000Z",SELL,4114.10,4117.50,4109.00,4102.20,34,TP1_PARTIAL_BE_STOP,4114.10,"2026-07-09T11:35:00.000Z",0.75,7.50,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SCALP,2,"2026-07-10T00:45:00.000Z",BUY,4132.00,4128.80,4133.40,4133.40,32,TP_EQUILIBRIUM,4133.40,"2026-07-10T00:50:00.000Z",1.20,6.00,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SCALP,3,"2026-07-10T08:00:00.000Z",BUY,4117.60,4115.80,4123.75,4123.75,18,SL_HIT,4115.80,"2026-07-10T08:05:00.000Z",-1.00,-5.00,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SUPREME,3,"2026-07-10T18:50:00.000Z",BUY,4109.00,4106.10,4113.35,4119.15,29,TP2_FULL_TARGET,4119.15,"2026-07-10T20:00:00.000Z",2.50,25.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,4,"2026-07-10T20:10:00.000Z",SELL,4120.10,4122.40,4116.65,4112.05,23,SL_HIT,4122.40,"2026-07-10T20:50:00.000Z",-1.00,-10.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,5,"2026-07-13T11:00:00.000Z",BUY,4068.40,4065.70,4072.45,4077.85,27,TP1_PARTIAL_BE_STOP,4068.40,"2026-07-13T11:20:00.000Z",0.75,7.50,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SCALP,4,"2026-07-14T05:20:00.000Z",SELL,4027.70,4031.10,4022.90,4022.90,34,SL_HIT,4031.10,"2026-07-14T05:30:00.000Z",-1.00,-5.00,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SCALP,5,"2026-07-14T23:25:00.000Z",BUY,4055.60,4052.80,4059.05,4059.05,28,TP_EQUILIBRIUM,4059.05,"2026-07-14T23:30:00.000Z",1.20,6.00,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SCALP,6,"2026-07-15T00:40:00.000Z",SELL,4060.80,4063.80,4057.65,4057.65,30,SL_HIT,4063.80,"2026-07-15T00:50:00.000Z",-1.00,-5.00,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SCALP,7,"2026-07-16T00:15:00.000Z",BUY,4061.70,4059.20,4066.15,4066.15,25,TP_EQUILIBRIUM,4066.15,"2026-07-16T00:30:00.000Z",1.20,6.00,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SUPREME,6,"2026-07-17T09:30:00.000Z",SELL,4003.40,4007.50,3997.25,3989.05,41,TP2_FULL_TARGET,3989.05,"2026-07-17T12:20:00.000Z",2.50,25.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,7,"2026-07-17T11:35:00.000Z",SELL,3996.60,4001.00,3990.00,3981.20,44,SL_HIT,4001.00,"2026-07-17T11:50:00.000Z",-1.00,-10.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,8,"2026-07-17T20:20:00.000Z",SELL,4014.10,4017.80,4008.55,4001.15,37,SL_HIT,4017.80,"2026-07-17T20:40:00.000Z",-1.00,-10.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SCALP,8,"2026-07-20T23:20:00.000Z",BUY,4010.10,4007.10,4015.25,4015.25,30,SL_HIT,4007.10,"2026-07-20T23:20:00.000Z",-1.00,-5.00,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SUPREME,10,"2026-07-21T12:30:00.000Z",SELL,4066.30,4070.80,4059.55,4050.55,45,TP2_FULL_TARGET,4050.55,"2026-07-21T13:40:00.000Z",2.50,25.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,9,"2026-07-21T15:30:00.000Z",SELL,4080.90,4083.70,4076.70,4071.10,28,SL_HIT,4083.70,"2026-07-21T15:35:00.000Z",-1.00,-10.00,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SUPREME,11,"2026-07-22T22:10:00.000Z",BUY,4125.60,4121.80,4131.30,4138.90,38,TP1_PARTIAL_BE_STOP,4125.60,"2026-07-22T22:40:00.000Z",0.75,7.50,"4/4 (1H Displacement + 5M FVG + DXY + Calendar Clear)"
SCALP,9,"2026-07-24T00:25:00.000Z",BUY,4048.80,4045.80,4050.30,4050.30,30,TP_EQUILIBRIUM,4050.30,"2026-07-24T00:35:00.000Z",1.20,6.00,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SCALP,10,"2026-07-24T00:50:00.000Z",SELL,4051.60,4055.00,4048.50,4048.50,34,TP_EQUILIBRIUM,4048.50,"2026-07-24T01:00:00.000Z",1.20,6.00,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
